polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,,
0.3,0.555555556,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.05,0.1,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
-0.15,0.4,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.1875,0.6875,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
-0.5,1,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.136363636,0.454545455,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
-1,1,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.125,0.3,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.55,0.7,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.05,0.241666667,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
-0.3,0.4,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
-0.155555556,0.288888889,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0.25,1,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
1,1,75,15.22,15.47,100,1017,15.22,3000,100,2.06,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.125,1,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.283333333,0.783333333,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.334821429,0.642857143,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.5,0.5,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.518181818,0.7,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.8,0.75,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.5,0.5,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
1,1,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.35,0.333333333,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.78125,0.5,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.2,0.2,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.225,0.425,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.320833333,0.866666667,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.4,0.4,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.9,1,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.007407407,0.612962963,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0.8,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.875,0.9,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.65,0.65,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.2,0.3,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
-0.6,0.9,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
-0.177777778,0.855555556,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
