polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,
0,1,20,11.84,13.28,88,1018,13.79,10000,130,1.54,
0,0,20,11.84,13.28,88,1018,13.79,10000,130,1.54,
0.3,0.266666667,20,11.84,13.28,88,1018,13.79,10000,130,1.54,
0.8,0.75,20,11.84,13.28,88,1018,13.79,10000,130,1.54,
0,0,20,11.84,13.28,88,1018,13.79,10000,130,1.54,
0,1,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.761607143,0.692857143,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.09375,0.31875,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.5,0.6,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.270833333,0.8,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0.55,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
-0.25,0.625,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.1,0.233333333,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.085227273,0.25,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.8,0.75,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0.3,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
-0.25,0.375,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.5,0.5,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.03125,0.75,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.6,0.9,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.05,0.35,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.333333333,0.5,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.363636364,0.647727273,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.518181818,0.727272727,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.9,1,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.418181818,0.6,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.35,0.35,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
-0.25,0.233333333,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.7,0.6,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.285714286,0.535714286,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.066666667,0.3,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.625,1,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.5,0.5,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0.1,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.3,0.2,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0,0,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.448148148,0.52962963,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
-0.316666667,0.3,41,11.77,14.9,77,1017,15.79,10000,160,2.06,
0.585227273,0.377272727,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.318181818,0.602272727,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.5,0.75,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.177777778,0.419444444,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.4,0.6,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
-0.25,0.233333333,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.2,0.95,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.5,0.6,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
-0.05,0.9,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.8,0.7,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
-0.005555556,0.533333333,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0.2,0.9,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
-0.4,1,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
0,0,44,13.16,16.4,77,1016,17.22,10000,130,2.57,
