polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.2,0.5,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
-0.082417582,0.494505495,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.012121212,0.2,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.285714286,0.535714286,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.8,1,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0.228571429,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.1,0.4,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,1,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
-0.5,0.9,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
1,0.6,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.233333333,0.433333333,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0,0,75,23.08,29.83,74,1016,28.15,16093,110,5.14,,
0.225,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.170454545,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0.4,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
