polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,
0,0,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.333333333,0.416666667,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
1,1,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
-0.433333333,0.666666667,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.1,0.2,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.166666667,0.297619048,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.075,0.675,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
-0.1,0.4,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.2,0.3,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
-0.175,0.608333333,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.4,0.5,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
-0.5,0.75,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.4,0.8,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.8,0.75,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.5,0.888888889,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0,0,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0.179166667,0.504166667,20,12.69,14.04,88,1017,14.65,10000,260,2.06,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0.2,0.666666667,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
-0.5,0.7,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0.125,0.35,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0.15,0.7,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0.1,0.1,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
-0.066666667,1,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
0,0,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
-0.15,0.45,100,13.26,14.45,88,1017,15.23,10000,280,2.57,
