polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,,
0.5,0.888888889,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
1,1,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0.68125,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.5,0.75,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.466666667,0.916666667,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.8,0.8,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.142857143,0.267857143,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.5,1,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.3,0.55,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.1,0.5,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.5,1,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.15,0.65,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.6,1,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.136363636,0.5,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.1,0.85,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.333333333,0.5,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.125,0.325,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.4,0.6,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0.1125,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
1,0.9,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0.1,0.4,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
-0.6,1,90,14.18,24.86,50,1013,25.34,16093,350,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.318181818,0.477272727,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.4,0.566666667,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.1,0.4,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
-0.083333333,1,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
-0.083333333,1,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.1,0.383333333,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0,0,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.8,0.75,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.029761905,0.405952381,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.392857143,0.767857143,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
0.5,0.75,75,13.75,23.27,53,1014,23.9,16093,20,2.57,,,
