lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
53.3501,-6.2662,Europe/Dublin,3600,0,10.7,1625097600,11.67,93,1018,11.79,10000,170,0.51
53.3501,-6.2662,Europe/Dublin,3600,40,9.96,1625101200,10.01,93,1018,11.05,5000,90,1.54
53.3501,-6.2662,Europe/Dublin,3600,0,11.21,1625104800,11.24,100,1018,11.21,10000,0,0.51
53.3501,-6.2662,Europe/Dublin,3600,75,10.67,1625108400,8.74,100,1018,10.67,1200,80,3.09
53.3501,-6.2662,Europe/Dublin,3600,75,11.79,1625112000,10.9,100,1018,11.79,1200,100,2.06
53.3501,-6.2662,Europe/Dublin,3600,75,12.02,1625115600,11.57,100,1018,12.02,500,0,1.54
53.3501,-6.2662,Europe/Dublin,3600,75,12.23,1625119200,11.48,100,1018,12.23,400,100,2.06
53.3501,-6.2662,Europe/Dublin,3600,75,12.45,1625122800,12.13,100,1018,12.45,400,0,1.54
53.3501,-6.2662,Europe/Dublin,3600,75,13.16,1625126400,13.79,100,1019,13.16,800,0,0.51
53.3501,-6.2662,Europe/Dublin,3600,90,14.55,1625130000,14.93,100,1018,14.55,2500,0,1.54
53.3501,-6.2662,Europe/Dublin,3600,90,15.34,1625133600,16.97,94,1018,16.31,8000,0,1.54
53.3501,-6.2662,Europe/Dublin,3600,75,15.7,1625137200,18.14,88,1017,17.71,10000,80,2.06
53.3501,-6.2662,Europe/Dublin,3600,75,14.81,1625140800,17.59,77,1018,18.93,10000,100,4.12
53.3501,-6.2662,Europe/Dublin,3600,75,15.15,1625144400,18.43,77,1018,19.28,9000,100,3.6
53.3501,-6.2662,Europe/Dublin,3600,75,14.66,1625148000,19.18,72,1017,19.85,10000,100,3.09
53.3501,-6.2662,Europe/Dublin,3600,75,13.71,1625151600,18.42,68,1017,19.78,10000,100,3.6
53.3501,-6.2662,Europe/Dublin,3600,75,14.74,1625155200,18.56,72,1017,19.93,8000,120,4.12
53.3501,-6.2662,Europe/Dublin,3600,75,15.15,1625158800,17.35,77,1017,19.28,8000,150,5.14
53.3501,-6.2662,Europe/Dublin,3600,75,15.79,1625162400,18.32,82,1016,18.93,9000,110,3.6
53.3501,-6.2662,Europe/Dublin,3600,40,15.03,1625166000,17.98,82,1016,18.15,9000,130,2.57
53.3501,-6.2662,Europe/Dublin,3600,40,15.23,1625169600,16.76,88,1016,17.23,800,100,3.09
53.3501,-6.2662,Europe/Dublin,3600,75,14.71,1625173200,15.38,94,1017,15.67,3000,110,2.57
53.3501,-6.2662,Europe/Dublin,3600,75,15.22,1625176800,15.47,100,1017,15.22,3000,100,2.06
53.3501,-6.2662,Europe/Dublin,3600,75,13.83,1625180400,15.64,94,1017,14.79,5000,0,0.51
