lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
34.0522,-118.2437,America/Los_Angeles,-25200,1,15.69,1625097600,24.94,53,1010,26.0,16093,229,4.18
34.0522,-118.2437,America/Los_Angeles,-25200,1,16.16,1625101200,25.02,60,1010,24.42,16093,0,2.06
34.0522,-118.2437,America/Los_Angeles,-25200,1,15.58,1625104800,22.22,64,1011,22.74,16093,217,3.35
34.0522,-118.2437,America/Los_Angeles,-25200,1,15.95,1625108400,21.86,73,1011,20.97,16093,270,1.54
34.0522,-118.2437,America/Los_Angeles,-25200,1,15.69,1625112000,20.08,77,1012,19.84,16093,185,2.32
34.0522,-118.2437,America/Los_Angeles,-25200,1,14.87,1625115600,19.43,77,1012,18.99,16093,176,1.61
34.0522,-118.2437,America/Los_Angeles,-25200,75,15.78,1625119200,19.41,82,1012,18.92,16093,180,2.01
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.86,1625122800,19.25,77,1012,18.98,12875,172,1.84
34.0522,-118.2437,America/Los_Angeles,-25200,90,16.05,1625126400,19.75,82,1012,19.19,16093,150,2.06
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.97,1625130000,19.61,77,1012,19.09,12875,0,1.54
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.69,1625133600,19.47,77,1012,18.8,12875,188,1.19
34.0522,-118.2437,America/Los_Angeles,-25200,90,15.31,1625137200,19.45,82,1011,18.44,12875,206,1.02
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.71,1625140800,19.59,77,1012,18.82,12875,195,1.05
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.7,1625144400,19.26,77,1013,18.81,12875,177,1.51
34.0522,-118.2437,America/Los_Angeles,-25200,90,15.03,1625148000,19.7,77,1013,19.16,9656,179,1.55
34.0522,-118.2437,America/Los_Angeles,-25200,90,14.86,1625151600,20.38,73,1013,19.84,11265,194,1.46
34.0522,-118.2437,America/Los_Angeles,-25200,40,13.73,1625155200,20.74,64,1013,20.78,11265,201,1.72
34.0522,-118.2437,America/Los_Angeles,-25200,1,13.73,1625158800,22.34,57,1013,22.68,12875,216,2.15
34.0522,-118.2437,America/Los_Angeles,-25200,1,14.7,1625162400,24.54,53,1012,24.93,16093,224,2.7
34.0522,-118.2437,America/Los_Angeles,-25200,1,16.75,1625166000,28.02,54,1012,26.83,16093,280,1.54
34.0522,-118.2437,America/Los_Angeles,-25200,1,17.46,1625169600,28.72,54,1012,27.6,16093,0,2.06
34.0522,-118.2437,America/Los_Angeles,-25200,1,16.82,1625173200,29.44,50,1011,28.22,16093,260,1.54
34.0522,-118.2437,America/Los_Angeles,-25200,1,16.95,1625176800,28.92,50,1010,28.37,16093,0,2.57
34.0522,-118.2437,America/Los_Angeles,-25200,1,17.75,1625180400,29.83,53,1010,28.23,16093,250,1.54
