lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
53.4,-2.9833,Europe/London,3600,90,14.3,1625097600,14.23,100,1018,14.3,10000,300,2.06
53.4,-2.9833,Europe/London,3600,90,13.07,1625101200,14.25,94,1018,14.02,5000,0,1.03
53.4,-2.9833,Europe/London,3600,90,12.93,1625104800,14.43,94,1018,13.88,4700,0,0.51
53.4,-2.9833,Europe/London,3600,90,12.94,1625108400,14.08,94,1018,13.89,4700,0,1.03
53.4,-2.9833,Europe/London,3600,90,12.78,1625112000,13.87,94,1018,13.73,4200,240,1.03
53.4,-2.9833,Europe/London,3600,90,12.71,1625115600,14.14,94,1018,13.66,4400,0,0.51
53.4,-2.9833,Europe/London,3600,75,10.99,1625119200,12.89,82,1018,14.01,10000,70,2.06
53.4,-2.9833,Europe/London,3600,90,13.64,1625122800,13.93,94,1018,14.59,7000,310,2.57
53.4,-2.9833,Europe/London,3600,75,13.58,1625126400,14.88,88,1018,15.56,8000,300,2.57
53.4,-2.9833,Europe/London,3600,75,14.76,1625130000,16.49,88,1018,16.76,6000,330,2.57
53.4,-2.9833,Europe/London,3600,75,14.65,1625133600,17.98,83,1018,17.57,6000,0,1.54
53.4,-2.9833,Europe/London,3600,75,14.29,1625137200,17.38,78,1018,18.18,9000,310,3.09
53.4,-2.9833,Europe/London,3600,40,13.83,1625140800,17.81,73,1018,18.77,10000,290,3.09
53.4,-2.9833,Europe/London,3600,40,14.75,1625144400,18.36,73,1018,19.72,10000,250,4.12
53.4,-2.9833,Europe/London,3600,40,13.91,1625148000,17.98,68,1017,19.99,10000,270,4.63
53.4,-2.9833,Europe/London,3600,40,13.11,1625151600,18.58,64,1017,20.13,10000,270,3.6
53.4,-2.9833,Europe/London,3600,20,14.31,1625155200,16.66,73,1017,19.26,10000,290,5.66
53.4,-2.9833,Europe/London,3600,40,13.78,1625158800,15.93,73,1017,18.71,10000,300,5.66
53.4,-2.9833,Europe/London,3600,75,14.02,1625162400,14.43,82,1017,17.12,10000,300,5.66
53.4,-2.9833,Europe/London,3600,75,13.7,1625166000,13.96,88,1017,15.68,10000,280,4.12
53.4,-2.9833,Europe/London,3600,99,12.04,1625169600,13.2,82,1017,15.09,10000,290,3.6
53.4,-2.9833,Europe/London,3600,99,12.76,1625173200,13.79,88,1017,14.73,10000,280,2.57
53.4,-2.9833,Europe/London,3600,20,12.35,1625176800,13.59,88,1017,14.31,10000,260,2.06
53.4,-2.9833,Europe/London,3600,75,13.02,1625180400,14.19,94,1017,13.97,10000,0,1.03
