lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
51.5099,-0.1181,Europe/London,3600,75,11.77,1625097600,13.91,88,1017,13.72,10000,330,0.51
51.5099,-0.1181,Europe/London,3600,75,10.08,1625101200,12.07,82,1016,13.08,10000,0,1.54
51.5099,-0.1181,Europe/London,3600,75,11.55,1625104800,11.9,94,1016,12.49,10000,290,1.54
51.5099,-0.1181,Europe/London,3600,75,9.63,1625108400,11.12,82,1017,12.62,10000,50,2.06
51.5099,-0.1181,Europe/London,3600,93,11.09,1625112000,11.65,94,1016,12.02,10000,30,1.03
51.5099,-0.1181,Europe/London,3600,75,8.34,1625115600,11.15,77,1016,12.25,10000,0,1.03
51.5099,-0.1181,Europe/London,3600,75,9.7,1625119200,12.17,77,1017,13.65,10000,340,2.06
51.5099,-0.1181,Europe/London,3600,90,9.74,1625122800,13.63,72,1017,14.73,10000,0,1.54
51.5099,-0.1181,Europe/London,3600,90,9.91,1625126400,14.61,67,1017,16.03,10000,360,2.06
51.5099,-0.1181,Europe/London,3600,40,10.64,1625130000,16.91,63,1017,17.77,10000,0,1.54
51.5099,-0.1181,Europe/London,3600,20,10.61,1625133600,16.83,59,1017,18.78,10000,270,3.09
51.5099,-0.1181,Europe/London,3600,59,9.64,1625137200,17.92,52,1017,19.77,10000,300,2.57
51.5099,-0.1181,Europe/London,3600,100,9.15,1625140800,17.49,49,1017,20.19,10000,300,3.6
51.5099,-0.1181,Europe/London,3600,75,10.04,1625144400,17.73,52,1017,20.2,10000,300,3.6
51.5099,-0.1181,Europe/London,3600,40,10.15,1625148000,18.24,52,1017,20.32,10000,300,3.09
51.5099,-0.1181,Europe/London,3600,40,10.51,1625151600,18.01,52,1016,20.71,10000,300,4.12
51.5099,-0.1181,Europe/London,3600,20,11.34,1625155200,18.65,56,1016,20.4,10000,340,3.09
51.5099,-0.1181,Europe/London,3600,40,12.84,1625158800,20.33,60,1016,20.89,10000,30,2.06
51.5099,-0.1181,Europe/London,3600,75,11.55,1625162400,20.03,56,1016,20.63,10000,270,1.54
51.5099,-0.1181,Europe/London,3600,75,12.05,1625166000,19.96,60,1016,20.05,10000,0,1.03
51.5099,-0.1181,Europe/London,3600,75,9.88,1625169600,17.4,56,1015,18.83,10000,60,2.06
51.5099,-0.1181,Europe/London,3600,75,9.48,1625173200,15.32,59,1016,17.58,10000,100,3.09
51.5099,-0.1181,Europe/London,3600,20,8.66,1625176800,14.95,59,1016,16.7,10000,120,2.06
51.5099,-0.1181,Europe/London,3600,100,8.48,1625180400,14.72,59,1016,16.51,10000,180,2.06
